source;target;name;kind;labels;adjacency;energy flow;information flow;material flow;spatial
Evaporator Core;Compressor;cc28;edge;"adjacency;energy flow;material flow";4.0;2.0;0.0;2.0;0.0
Evaporator Core;Evaporator Case;cc29;edge;"adjacency;spatial";2.0;0.0;0.0;0.0;2.0
Evaporator Core;Accumulator;cc30;edge;"adjacency;material flow;spatial";3.0;0.0;0.0;2.0;1.0
Evaporator Core;Blower Motor;cc31;edge;"adjacency;material flow";2.0;0.0;0.0;2.0;0.0
Accumulator;Heater Hoses;cc32;edge;default;0.0;0.0;0.0;0.0;-1.0
Accumulator;Compressor;cc33;edge;"adjacency;material flow;spatial";3.0;0.0;0.0;2.0;1.0
Accumulator;Evaporator Core;cc34;edge;"adjacency;material flow;spatial";3.0;0.0;0.0;2.0;1.0
Accumulator;Refrigeration Controls;cc35;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Refrigeration Controls;Compressor;cc36;edge;"adjacency;information flow";2.0;0.0;2.0;0.0;0.0
Refrigeration Controls;Accumulator;cc37;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Refrigeration Controls;Air Controls;cc38;edge;"adjacency;information flow";2.0;0.0;2.0;0.0;0.0
Refrigeration Controls;Command Distribution;cc39;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Air Controls;Compressor;cc40;edge;"adjacency;information flow";2.0;0.0;2.0;0.0;0.0
Air Controls;Refrigeration Controls;cc41;edge;"adjacency;information flow";2.0;0.0;2.0;0.0;0.0
Air Controls;Sensors;cc42;edge;"adjacency;information flow";2.0;0.0;2.0;0.0;0.0
Air Controls;Command Distribution;cc43;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Air Controls;Actuators;cc44;edge;"adjacency;information flow";2.0;0.0;2.0;0.0;0.0
Air Controls;Blower Controller;cc45;edge;"adjacency;information flow";2.0;0.0;2.0;0.0;0.0
Sensors;Air Controls;cc46;edge;"adjacency;information flow";2.0;0.0;2.0;0.0;0.0
Sensors;Command Distribution;cc47;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Command Distribution;Engine Fan;cc48;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Command Distribution;Compressor;cc49;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Command Distribution;Refrigeration Controls;cc50;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Command Distribution;Air Controls;cc51;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Command Distribution;Sensors;cc52;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Command Distribution;Actuators;cc53;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Command Distribution;Blower Controller;cc54;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Command Distribution;Blower Motor;cc55;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Actuators;Evaporator Case;cc56;edge;"adjacency;spatial";2.0;0.0;0.0;0.0;2.0
Actuators;Air Controls;cc57;edge;"adjacency;information flow";2.0;0.0;2.0;0.0;0.0
Actuators;Command Distribution;cc58;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Blower Controller;Evaporator Case;cc59;edge;"adjacency;spatial";2.0;0.0;0.0;0.0;2.0
Blower Controller;Air Controls;cc60;edge;"adjacency;information flow";2.0;0.0;2.0;0.0;0.0
Blower Controller;Command Distribution;cc61;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Blower Controller;Blower Motor;cc62;edge;"adjacency;material flow;spatial";4.0;0.0;0.0;2.0;2.0
Blower Motor;Heater Core;cc63;edge;"adjacency;material flow";2.0;0.0;0.0;2.0;0.0
Blower Motor;Evaporator Case;cc64;edge;"adjacency;material flow;spatial";4.0;0.0;0.0;2.0;2.0
Blower Motor;Evaporator Core;cc65;edge;"adjacency;material flow";2.0;0.0;0.0;2.0;0.0
Blower Motor;Command Distribution;cc66;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Blower Motor;Blower Controller;cc67;edge;"adjacency;material flow;spatial";4.0;0.0;0.0;2.0;2.0
