acronym,graph_id,graph_order,id,name,structure_id_path,structure_set_ids,rgb_triplet
SSp-ul1,1,80,450,"Primary somatosensory area, upper limb, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 369, 450]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-ul2/3,1,81,854,"Primary somatosensory area, upper limb, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 369, 854]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-ul4,1,82,577,"Primary somatosensory area, upper limb, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 369, 577]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
SSp-ul5,1,83,625,"Primary somatosensory area, upper limb, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 369, 625]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
SSp-ul6a,1,84,945,"Primary somatosensory area, upper limb, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 369, 945]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-ul6b,1,85,1026,"Primary somatosensory area, upper limb, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 369, 1026]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-tr,1,86,361,"Primary somatosensory area, trunk","[997, 8, 567, 688, 695, 315, 453, 322, 361]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[24, 128, 100]"
SSp-tr1,1,87,1006,"Primary somatosensory area, trunk, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 361, 1006]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-tr2/3,1,88,670,"Primary somatosensory area, trunk, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 361, 670]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-tr4,1,89,1086,"Primary somatosensory area, trunk, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 361, 1086]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
SSp-tr5,1,90,1111,"Primary somatosensory area, trunk, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 361, 1111]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
SSp-tr6a,1,91,9,"Primary somatosensory area, trunk, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 361, 9]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-tr6b,1,92,461,"Primary somatosensory area, trunk, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 361, 461]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-un,1,93,182305689,"Primary somatosensory area, unassigned","[997, 8, 567, 688, 695, 315, 453, 322, 182305689]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
SSp-un1,1,94,182305693,"Primary somatosensory area, unassigned, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305693]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-un2/3,1,95,182305697,"Primary somatosensory area, unassigned, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305697]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-un4,1,96,182305701,"Primary somatosensory area, unassigned, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305701]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
SSp-un5,1,97,182305705,"Primary somatosensory area, unassigned, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305705]","[667481446, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-un6a,1,98,182305709,"Primary somatosensory area, unassigned, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305709]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-un6b,1,99,182305713,"Primary somatosensory area, unassigned, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 182305689, 182305713]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
SSs,1,100,378,Supplemental somatosensory area,"[997, 8, 567, 688, 695, 315, 453, 378]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
SSs1,1,101,873,"Supplemental somatosensory area, layer 1","[997, 8, 567, 688, 695, 315, 453, 378, 873]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
SSs2/3,1,102,806,"Supplemental somatosensory area, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 378, 806]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
SSs4,1,103,1035,"Supplemental somatosensory area, layer 4","[997, 8, 567, 688, 695, 315, 453, 378, 1035]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
SSs5,1,104,1090,"Supplemental somatosensory area, layer 5","[997, 8, 567, 688, 695, 315, 453, 378, 1090]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
SSs6a,1,105,862,"Supplemental somatosensory area, layer 6a","[997, 8, 567, 688, 695, 315, 453, 378, 862]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
SSs6b,1,106,893,"Supplemental somatosensory area, layer 6b","[997, 8, 567, 688, 695, 315, 453, 378, 893]","[184527634, 12, 667481450, 691663206]","[24, 128, 100]"
GU,1,107,1057,Gustatory areas,"[997, 8, 567, 688, 695, 315, 1057]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[0, 156, 117]"
GU1,1,108,36,"Gustatory areas, layer 1","[997, 8, 567, 688, 695, 315, 1057, 36]","[667481440, 184527634, 12, 691663206]","[0, 156, 117]"
GU2/3,1,109,180,"Gustatory areas, layer 2/3","[997, 8, 567, 688, 695, 315, 1057, 180]","[667481441, 184527634, 12, 691663206]","[0, 156, 117]"
GU4,1,110,148,"Gustatory areas, layer 4","[997, 8, 567, 688, 695, 315, 1057, 148]","[184527634, 12, 667481445, 691663206]","[0, 156, 117]"
GU5,1,111,187,"Gustatory areas, layer 5","[997, 8, 567, 688, 695, 315, 1057, 187]","[184527634, 12, 667481446, 691663206]","[0, 156, 117]"
GU6a,1,112,638,"Gustatory areas, layer 6a","[997, 8, 567, 688, 695, 315, 1057, 638]","[667481449, 184527634, 12, 691663206]","[0, 156, 117]"
GU6b,1,113,662,"Gustatory areas, layer 6b","[997, 8, 567, 688, 695, 315, 1057, 662]","[184527634, 12, 667481450, 691663206]","[0, 156, 117]"
VISC,1,114,677,Visceral area,"[997, 8, 567, 688, 695, 315, 677]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[17, 173, 131]"
VISC1,1,115,897,"Visceral area, layer 1","[997, 8, 567, 688, 695, 315, 677, 897]","[667481440, 184527634, 12, 691663206]","[17, 173, 131]"
VISC2/3,1,116,1106,"Visceral area, layer 2/3","[997, 8, 567, 688, 695, 315, 677, 1106]","[667481441, 184527634, 12, 691663206]","[17, 173, 131]"
VISC4,1,117,1010,"Visceral area, layer 4","[997, 8, 567, 688, 695, 315, 677, 1010]","[184527634, 12, 667481445, 691663206]","[17, 173, 131]"
VISC5,1,118,1058,"Visceral area, layer 5","[997, 8, 567, 688, 695, 315, 677, 1058]","[184527634, 12, 667481446, 691663206]","[17, 173, 131]"
VISC6a,1,119,857,"Visceral area, layer 6a","[997, 8, 567, 688, 695, 315, 677, 857]","[667481449, 184527634, 12, 691663206]","[17, 173, 131]"
VISC6b,1,120,849,"Visceral area, layer 6b","[997, 8, 567, 688, 695, 315, 677, 849]","[184527634, 12, 667481450, 691663206]","[17, 173, 131]"
AUD,1,121,247,Auditory areas,"[997, 8, 567, 688, 695, 315, 247]","[3, 112905828, 691663206, 12, 184527634, 114512891]","[1, 147, 153]"
AUDd,1,122,1011,Dorsal auditory area,"[997, 8, 567, 688, 695, 315, 247, 1011]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[1, 147, 153]"
AUDd1,1,123,527,"Dorsal auditory area, layer 1","[997, 8, 567, 688, 695, 315, 247, 1011, 527]","[667481440, 184527634, 12, 691663206]","[1, 147, 153]"
AUDd2/3,1,124,600,"Dorsal auditory area, layer 2/3","[997, 8, 567, 688, 695, 315, 247, 1011, 600]","[667481441, 184527634, 12, 691663206]","[1, 147, 153]"
AUDd4,1,125,678,"Dorsal auditory area, layer 4","[997, 8, 567, 688, 695, 315, 247, 1011, 678]","[184527634, 12, 667481445, 691663206]","[1, 147, 153]"
AUDd5,1,126,252,"Dorsal auditory area, layer 5","[997, 8, 567, 688, 695, 315, 247, 1011, 252]","[184527634, 12, 667481446, 691663206]","[1, 147, 153]"
AUDd6a,1,127,156,"Dorsal auditory area, layer 6a","[997, 8, 567, 688, 695, 315, 247, 1011, 156]","[667481449, 184527634, 12, 691663206]","[1, 147, 153]"
AUDd6b,1,128,243,"Dorsal auditory area, layer 6b","[997, 8, 567, 688, 695, 315, 247, 1011, 243]","[667481450, 184527634, 12, 691663206]","[1, 147, 153]"
AUDp,1,136,1002,Primary auditory area,"[997, 8, 567, 688, 695, 315, 247, 1002]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[1, 147, 153]"
AUDp1,1,137,735,"Primary auditory area, layer 1","[997, 8, 567, 688, 695, 315, 247, 1002, 735]","[667481440, 184527634, 12, 691663206]","[1, 147, 153]"
AUDp2/3,1,138,251,"Primary auditory area, layer 2/3","[997, 8, 567, 688, 695, 315, 247, 1002, 251]","[667481441, 184527634, 12, 691663206]","[1, 147, 153]"
AUDp4,1,139,816,"Primary auditory area, layer 4","[997, 8, 567, 688, 695, 315, 247, 1002, 816]","[184527634, 12, 667481445, 691663206]","[1, 147, 153]"
AUDp5,1,140,847,"Primary auditory area, layer 5","[997, 8, 567, 688, 695, 315, 247, 1002, 847]","[184527634, 12, 667481446, 691663206]","[1, 147, 153]"
AUDp6a,1,141,954,"Primary auditory area, layer 6a","[997, 8, 567, 688, 695, 315, 247, 1002, 954]","[667481449, 184527634, 12, 691663206]","[1, 147, 153]"
AUDp6b,1,142,1005,"Primary auditory area, layer 6b","[997, 8, 567, 688, 695, 315, 247, 1002, 1005]","[667481450, 184527634, 12, 691663206]","[1, 147, 153]"
AUDpo,1,143,1027,Posterior auditory area,"[997, 8, 567, 688, 695, 315, 247, 1027]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[1, 147, 153]"
AUDpo1,1,144,696,"Posterior auditory area, layer 1","[997, 8, 567, 688, 695, 315, 247, 1027, 696]","[667481440, 184527634, 12, 691663206]","[1, 147, 153]"
AUDpo2/3,1,145,643,"Posterior auditory area, layer 2/3","[997, 8, 567, 688, 695, 315, 247, 1027, 643]","[667481441, 184527634, 12, 691663206]","[1, 147, 153]"
AUDpo4,1,146,759,"Posterior auditory area, layer 4","[997, 8, 567, 688, 695, 315, 247, 1027, 759]","[184527634, 12, 667481445, 691663206]","[1, 147, 153]"
AUDpo5,1,147,791,"Posterior auditory area, layer 5","[997, 8, 567, 688, 695, 315, 247, 1027, 791]","[184527634, 12, 667481446, 691663206]","[1, 147, 153]"
AUDpo6a,1,148,249,"Posterior auditory area, layer 6a","[997, 8, 567, 688, 695, 315, 247, 1027, 249]","[667481449, 184527634, 12, 691663206]","[1, 147, 153]"
AUDpo6b,1,149,456,"Posterior auditory area, layer 6b","[997, 8, 567, 688, 695, 315, 247, 1027, 456]","[184527634, 667481450, 691663206]","[1, 147, 153]"
AUDv,1,150,1018,Ventral auditory area,"[997, 8, 567, 688, 695, 315, 247, 1018]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[1, 147, 153]"
AUDv1,1,151,959,"Ventral auditory area, layer 1","[997, 8, 567, 688, 695, 315, 247, 1018, 959]","[667481440, 184527634, 12, 691663206]","[1, 147, 153]"
AUDv2/3,1,152,755,"Ventral auditory area, layer 2/3","[997, 8, 567, 688, 695, 315, 247, 1018, 755]","[667481441, 184527634, 12, 691663206]","[1, 147, 153]"
AUDv4,1,153,990,"Ventral auditory area, layer 4","[997, 8, 567, 688, 695, 315, 247, 1018, 990]","[184527634, 12, 667481445, 691663206]","[1, 147, 153]"
AUDv5,1,154,1023,"Ventral auditory area, layer 5","[997, 8, 567, 688, 695, 315, 247, 1018, 1023]","[184527634, 12, 667481446, 691663206]","[1, 147, 153]"
AUDv6a,1,155,520,"Ventral auditory area, layer 6a","[997, 8, 567, 688, 695, 315, 247, 1018, 520]","[667481449, 184527634, 12, 691663206]","[1, 147, 153]"
AUDv6b,1,156,598,"Ventral auditory area, layer 6b","[997, 8, 567, 688, 695, 315, 247, 1018, 598]","[667481450, 184527634, 12, 691663206]","[1, 147, 153]"
VIS,1,157,669,Visual areas,"[997, 8, 567, 688, 695, 315, 669]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[8, 133, 140]"
VISal,1,164,402,Anterolateral visual area,"[997, 8, 567, 688, 695, 315, 669, 402]","[396673091, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 514166994, 167587189, 114512891]","[8, 133, 140]"
VISal1,1,165,1074,"Anterolateral visual area, layer 1","[997, 8, 567, 688, 695, 315, 669, 402, 1074]","[667481440, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
VISal2/3,1,166,905,"Anterolateral visual area, layer 2/3","[997, 8, 567, 688, 695, 315, 669, 402, 905]","[667481441, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
VISal4,1,167,1114,"Anterolateral visual area, layer 4","[997, 8, 567, 688, 695, 315, 669, 402, 1114]","[396673091, 667481445, 691663206, 12, 184527634]","[8, 133, 140]"
VISal5,1,168,233,"Anterolateral visual area, layer 5","[997, 8, 567, 688, 695, 315, 669, 402, 233]","[396673091, 691663206, 667481446, 12, 184527634]","[8, 133, 140]"
VISal6a,1,169,601,"Anterolateral visual area, layer 6a","[997, 8, 567, 688, 695, 315, 669, 402, 601]","[396673091, 691663206, 667481449, 12, 184527634]","[8, 133, 140]"
VISal6b,1,170,649,"Anterolateral visual area, layer 6b","[997, 8, 567, 688, 695, 315, 669, 402, 649]","[396673091, 691663206, 667481450, 12, 184527634]","[8, 133, 140]"
VISam,1,171,394,Anteromedial visual area,"[997, 8, 567, 688, 695, 315, 669, 394]","[396673091, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 514166994, 167587189, 114512891]","[8, 133, 140]"
VISam1,1,172,281,"Anteromedial visual area, layer 1","[997, 8, 567, 688, 695, 315, 669, 394, 281]","[667481440, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
VISam2/3,1,173,1066,"Anteromedial visual area, layer 2/3","[997, 8, 567, 688, 695, 315, 669, 394, 1066]","[667481441, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
VISam4,1,174,401,"Anteromedial visual area, layer 4","[997, 8, 567, 688, 695, 315, 669, 394, 401]","[396673091, 667481445, 691663206, 12, 184527634]","[8, 133, 140]"
VISam5,1,175,433,"Anteromedial visual area, layer 5","[997, 8, 567, 688, 695, 315, 669, 394, 433]","[396673091, 691663206, 667481446, 12, 184527634]","[8, 133, 140]"
VISam6a,1,176,1046,"Anteromedial visual area, layer 6a","[997, 8, 567, 688, 695, 315, 669, 394, 1046]","[396673091, 691663206, 667481449, 12, 184527634]","[8, 133, 140]"
VISam6b,1,177,441,"Anteromedial visual area, layer 6b","[997, 8, 567, 688, 695, 315, 669, 394, 441]","[396673091, 691663206, 667481450, 12, 184527634]","[8, 133, 140]"
VISl,1,178,409,Lateral visual area,"[997, 8, 567, 688, 695, 315, 669, 409]","[396673091, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 514166994, 167587189, 114512891]","[8, 133, 140]"
VISl1,1,179,421,"Lateral visual area, layer 1","[997, 8, 567, 688, 695, 315, 669, 409, 421]","[667481440, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
VISl2/3,1,180,973,"Lateral visual area, layer 2/3","[997, 8, 567, 688, 695, 315, 669, 409, 973]","[667481441, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
VISl4,1,181,573,"Lateral visual area, layer 4","[997, 8, 567, 688, 695, 315, 669, 409, 573]","[396673091, 667481445, 691663206, 12, 184527634]","[8, 133, 140]"
VISl5,1,182,613,"Lateral visual area, layer 5","[997, 8, 567, 688, 695, 315, 669, 409, 613]","[396673091, 667481446, 691663206, 12, 184527634]","[8, 133, 140]"
VISl6a,1,183,74,"Lateral visual area, layer 6a","[997, 8, 567, 688, 695, 315, 669, 409, 74]","[396673091, 691663206, 667481449, 12, 184527634]","[8, 133, 140]"
VISl6b,1,184,121,"Lateral visual area, layer 6b","[997, 8, 567, 688, 695, 315, 669, 409, 121]","[396673091, 691663206, 667481450, 12, 184527634]","[8, 133, 140]"
VISp,1,185,385,Primary visual area,"[997, 8, 567, 688, 695, 315, 669, 385]","[396673091, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 514166994, 112905813, 167587189, 114512891, 114512892]","[8, 133, 140]"
VISp1,1,186,593,"Primary visual area, layer 1","[997, 8, 567, 688, 695, 315, 669, 385, 593]","[667481440, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
VISp2/3,1,187,821,"Primary visual area, layer 2/3","[997, 8, 567, 688, 695, 315, 669, 385, 821]","[667481441, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
