RANK,name
204.0,Lloyds Banking Group
205.0,Deutsche Bank
206.0,China Vanke
207.0,HCA Healthcare
208.0,Sumitomo Mitsui Financial Group
209.0,LG Electronics
210.0,Unilever
211.0,Accenture
212.0,Barclays
213.0,Jinneng Holding Group
214.0,Aluminum Corp. of China
215.0,Munich Re Group
216.0,Sberbank
217.0,Banco do Brasil
218.0,The Progressive Corporation
219.0,IBM
220.0,Nippon Steel Corporation
221.0,Deere
222.0,Nvidia
223.0,StoneX Group
224.0,Zurich Insurance Group
225.0,Bouygues
226.0,Mizuho Financial Group
227.0,Daimler Truck Holding
228.0,ING Group
229.0,Merck
230.0,Bunge
231.0,Anheuser-Busch InBev
232.0,Industrial Bank
233.0,POSCO Holdings
234.0,Panasonic Holdings
235.0,ConocoPhillips
236.0,Pfizer
237.0,Delta Air Lines
238.0,China Huaneng Group
239.0,China Energy Engineering Group
240.0,Dongfeng Motor
241.0,TD Synnex
242.0,Publix Super Markets
243.0,Zhejiang Hengyi Group
244.0,Allstate
245.0,Assicurazioni Generali
246.0,Cisco
247.0,Repsol
248.0,Lenovo Group
249.0,HBIS Group
250.0,Contemporary Amperex Technology
251.0,Renault
252.0,Banco Bradesco
253.0,China Electronics Technology Group
254.0,Nationwide
255.0,Charter Communications
256.0,State Power Investment
257.0,Edeka Zentrale
258.0,Bharat Petroleum
259.0,AbbVie
260.0,New York Life Insurance
261.0,Intel
262.0,TJX
263.0,Novartis
264.0,Rio Tinto Group
265.0,Tsingshan Holding Group
266.0,Prudential Financial
267.0,COSCO Shipping
268.0,BHP Group
269.0,HP
270.0,United Airlines Holdings
271.0,Tata Motors
272.0,Performance Food Group
273.0,Iberdrola
274.0,Deutsche Bahn
275.0,Idemitsu Kosan
276.0,Tyson Foods
277.0,Midea Group
278.0,American Airlines Group
279.0,China United Network Communications
280.0,Liberty Mutual Insurance Group
281.0,Bank of Nova Scotia
282.0,Volvo
283.0,Intesa Sanpaolo
284.0,Saint-Gobain
285.0,Shaanxi Yanchang Petroleum (Group)
286.0,Bayer
287.0,Tokio Marine Holdings
288.0,Nike
289.0,Maersk Group
290.0,Phoenix Pharma
291.0,Greenland Holding Group
292.0,Shanghai Pudong Development Bank
293.0,Louis Dreyfus
294.0,Bank of Montreal
295.0,ZF Friedrichshafen
296.0,KB Financial Group
297.0,Sanofi
298.0,Marubeni
299.0,Oracle
300.0,Jinchuan Group
301.0,Swiss Re
302.0,Chubb
303.0,Enterprise Products Partners
304.0,Capital One Financial
305.0,Denso
306.0,HDFC Bank
307.0,China National Building Material Group
308.0,Veolia Environnement
309.0,China State Shipbuilding
310.0,Vodafone Group
311.0,Plains GP Holdings
312.0,Landesbank Baden-Wurttemberg
313.0,EXOR Group
314.0,Jingye Group
315.0,UniCredit Group
316.0,Energie Baden-Wurttemberg
317.0,Tokyo Electric Power
318.0,Sumitomo
319.0,World Kinect
320.0,Orange
321.0,HD Hyundai
322.0,Ingka Group
323.0,ANZ Group Holdings
324.0,AIG
325.0,SoftBank Group
326.0,Sinomach
327.0,Talanx
328.0,America Movil
329.0,AstraZeneca
330.0,Zhejiang Communications Investment Group
331.0,China Pacific Insurance (Group)
332.0,Coca-Cola
333.0,TIAA
334.0,Caixa Economica Federal
335.0,CHS
336.0,China Huadian
337.0,Credit Mutuel Group
338.0,MS&AD Insurance Group Holdings
339.0,Hyundai Mobis
340.0,Susun Construction Group
341.0,SNCF Group
342.0,Bristol-Myers Squibb
343.0,China South Industries Group
344.0,Continental
345.0,Raizen
346.0,Dow
347.0,George Weston
348.0,L'Oreal
349.0,Fomento Economico Mexicano
350.0,Telefonica
351.0,China Minsheng Banking
352.0,Best Buy
353.0,Woolworths Group
354.0,Shanghai Construction Group
355.0,LG Chem
356.0,Thermo Fisher Scientific
357.0,Magna International
358.0,OMV Group
359.0,Massachusetts Mutual Life Insurance
360.0,USAA
361.0,Guangzhou Municipal Construction Group
362.0,General Dynamics
363.0,Vale
364.0,Zijin Mining Group
365.0,Travelers
366.0,Warner Bros. Discovery
367.0,Canadian Imperial Bank of Commerce
368.0,LyondellBasell Industries
369.0,J. Sainsbury
370.0,Shenzhen Investment Holdings
371.0,Ansteel Group
372.0,Hanwha
373.0,U.S. Bancorp
374.0,Lufthansa Group
375.0,Pegatron
376.0,Abbott Laboratories
377.0,ThyssenKrupp
378.0,New Hope Holding Group
379.0,KDDI
380.0,China National Nuclear
381.0,Taikang Insurance Group
382.0,Northrop Grumman
383.0,Jiangsu Shagang Group
384.0,Meituan
385.0,Chery Holding Group
386.0,Inditex
387.0,Schneider Electric
388.0,Northwestern Mutual
389.0,Dollar General
390.0,Cenovus Energy
391.0,ACS
392.0,Coop Group
393.0,Fairfax Financial Holdings
394.0,Guangzhou Industrial Investment Holdings
395.0,PBF Energy
396.0,Standard Chartered
397.0,Xiaomi
398.0,Compass Group
399.0,Meiji Yasuda Life Insurance
400.0,GSK
401.0,Suncor Energy
402.0,Hangzhou Industrial Investment Group
403.0,Uber Technologies
404.0,DZ Bank
405.0,GS Caltex
406.0,Suzuki Motor
407.0,Haier Smart Home
408.0,X5 Retail Group
409.0,La Poste
410.0,Hangzhou Iron and Steel Group
411.0,Shanghai Pharmaceuticals Holding
412.0,Shandong Hi-Speed Group
413.0,Honeywell International
414.0,Guangdong Guangxin Holdings
415.0,S.F. Holding
416.0,Mitsubishi Electric
417.0,Guangzhou Pharmaceutical Holdings
418.0,China Datang
419.0,Mapfre Group
420.0,CFE
421.0,Jardine Matheson
422.0,Mondelez International
423.0,Daiwa House Industry
424.0,Starbucks
425.0,Olam Group
426.0,Qualcomm
427.0,Broadcom
428.0,JFE Holdings
429.0,Hailiang Group
430.0,US Foods Holding
431.0,ELO Group
432.0,Migros Group
433.0,Mercadona
434.0,D.R. Horton
435.0,China Electronics
436.0,Shudao Investment Group
437.0,China National Coal Group
438.0,TongLing Nonferrous Metals Group
439.0,CK Hutchison Holdings
440.0,Philip Morris International
441.0,Paccar
442.0,PDD Holdings
443.0,CRH
444.0,Quanta Computer
445.0,Salesforce
446.0,AIA Group
447.0,Nucor
448.0,Jabil
449.0,National Australia Bank
450.0,SAP
451.0,CRRC Group
452.0,Shanghai Delong Steel Group
453.0,Lennar
454.0,Sompo Holdings
455.0,Eli Lilly
456.0,Korea Gas
457.0,Molina Healthcare
458.0,Beijing Jianlong Heavy Industry Group
459.0,Cummins
460.0,Shaanxi Construction Engineering Holding
461.0,Rabobank Group
462.0,Aisin
463.0,Rajesh Exports
464.0,British American Tobacco
465.0,CPC
466.0,Bank of New York Mellon
467.0,Tongwei Group
468.0,Netflix
469.0,Novo Nordisk
470.0,Shougang Group
471.0,Shanxi Coking Coal Group
472.0,Guangxi Investment Group
473.0,VTB Bank
474.0,Mazda Motor
475.0,Hunan Iron & Steel Group
476.0,Power Corp. of Canada
477.0,Truist Financial
478.0,Siemens Energy
479.0,Schlumberger
480.0,Ecopetrol
481.0,Arrow Electronics
482.0,Jeronimo Martins
483.0,China National Aviation Fuel Group
484.0,Commonwealth Bank of Australia
485.0,Centrica
486.0,Linde
487.0,Heineken
488.0,Luxshare Precision Industry
489.0,3M
490.0,Visa
491.0,Apollo Global Management
492.0,Emirates Group
493.0,Vibra Energia
494.0,Metro
495.0,Subaru
496.0,Air France-KLM Group
497.0,Enbridge
498.0,ABB
499.0,Mitsubishi Heavy Industries
500.0,Samsung C&T
