name;source;target;adjacency;technology risk
pfi125;Transponder, Diplexer, Amplifier;Lander HGA;4;4
pfi126;Spacecraft Software;Lander HGA;1;1
pfi127;Lander Structure;Lander HGA;2;2
pfi128;Telecommunications Boards - TEL I/F;Transponder, Diplexer, Amplifier;4;12
pfi129;Cruise MGA;Transponder, Diplexer, Amplifier;4;4
pfi130;Entry, Descent & Lander LGAs;Transponder, Diplexer, Amplifier;4;4
pfi131;Lander HGA;Transponder, Diplexer, Amplifier;4;4
pfi132;Freon Active Thermal Control;Transponder, Diplexer, Amplifier;2;2
pfi133;Passive Thermal Control/Enclosure;Transponder, Diplexer, Amplifier;2;2
pfi134;Spacecraft Software;Transponder, Diplexer, Amplifier;1;1
pfi135;Lander Structure;Transponder, Diplexer, Amplifier;2;2
pfi136;Lander Power Converter;Mechanical Actuators;4;4
pfi137;Lander Remoter Eng Unit;Mechanical Actuators;2;6
pfi138;Spacecraft Software;Mechanical Actuators;1;1
pfi139;Lander Structure;Mechanical Actuators;2;2
pfi140;Power Distribution and Control;Lander Power Converter;4;4
pfi141;Mechanical Actuators;Lander Power Converter;4;4
pfi142;Lander Remoter Eng Unit;Lander Power Converter;4;12
pfi143;Freon Active Thermal Control;Lander Power Converter;2;2
pfi144;Passive Thermal Control/Enclosure;Lander Power Converter;2;2
pfi145;Spacecraft Software;Lander Power Converter;1;1
pfi146;Lander Structure;Lander Power Converter;2;2
pfi147;Lander Remoter Eng Unit;Radar Altimeter;4;12
pfi148;Spacecraft Software;Radar Altimeter;1;1
pfi149;Lander Structure;Radar Altimeter;2;2
pfi150;Lander Remoter Eng Unit;Lander Sensors;4;12
pfi151;Spacecraft Software;Lander Sensors;1;1
pfi152;Lander Structure;Lander Sensors;2;2
pfi153;Lander Remoter Eng Unit;HGA Actuators;4;12
pfi154;Spacecraft Software;HGA Actuators;1;1
pfi155;Lander Structure;HGA Actuators;2;2
pfi156;Mechanical Actuators;Lander Remoter Eng Unit;2;6
pfi157;Lander Power Converter;Lander Remoter Eng Unit;4;12
pfi158;Radar Altimeter;Lander Remoter Eng Unit;4;12
pfi159;Lander Sensors;Lander Remoter Eng Unit;4;12
pfi160;HGA Actuators;Lander Remoter Eng Unit;4;12
pfi161;1553 Data Bus;Lander Remoter Eng Unit;4;36
pfi162;Freon Active Thermal Control;Lander Remoter Eng Unit;2;6
pfi163;Passive Thermal Control/Enclosure;Lander Remoter Eng Unit;2;6
pfi164;Spacecraft Software;Lander Remoter Eng Unit;2;6
pfi165;Lander Structure;Lander Remoter Eng Unit;2;6
pfi166;Sojourner Rover;UHF Modem;2;18
pfi167;Flight Computer & I/F Boards;UHF Modem;4;36
pfi168;Spacecraft Software;UHF Modem;1;3
pfi169;Lander Structure;UHF Modem;2;6
pfi170;UHF Modem;Sojourner Rover;2;18
pfi171;Spacecraft Software;Sojourner Rover;1;3
pfi172;Lander Structure;Sojourner Rover;2;6
pfi173;UHF Modem;Flight Computer & I/F Boards;4;36
pfi174;VME Bus;Flight Computer & I/F Boards;4;36
pfi175;Freon Active Thermal Control;Flight Computer & I/F Boards;2;6
pfi176;Passive Thermal Control/Enclosure;Flight Computer & I/F Boards;2;6
pfi177;Spacecraft Software;Flight Computer & I/F Boards;2;6
pfi178;Lander Structure;Flight Computer & I/F Boards;2;6
pfi179;VME Bus;Imager;4;12
pfi180;Freon Active Thermal Control;Imager;2;2
pfi181;Passive Thermal Control/Enclosure;Imager;2;2
pfi182;Spacecraft Software;Imager;2;2
pfi183;Lander Structure;Imager;2;2
pfi184;VME Bus;Atmospheric Structure Instrument;4;12
pfi185;Freon Active Thermal Control;Atmospheric Structure Instrument;2;2
pfi186;Passive Thermal Control/Enclosure;Atmospheric Structure Instrument;2;2
pfi187;Spacecraft Software;Atmospheric Structure Instrument;2;2
pfi188;Lander Structure;Atmospheric Structure Instrument;2;2
pfi189;Cruise Remote Eng Unit;1553 Data Bus;4;12
pfi190;Telecommunications Boards - VME I/F;1553 Data Bus;4;36
pfi191;Lander Remoter Eng Unit;1553 Data Bus;4;36
pfi192;Spacecraft Software;1553 Data Bus;1;3
pfi193;Lander Structure;1553 Data Bus;2;6
pfi194;AIM Power Converter;VME Bus;4;12
pfi195;Telecommunications Boards - VME I/F;VME Bus;4;36
pfi196;Flight Computer & I/F Boards;VME Bus;4;36
pfi197;Imager;VME Bus;4;12
pfi198;Atmospheric Structure Instrument;VME Bus;4;12
pfi199;Spacecraft Software;VME Bus;1;3
pfi200;Lander Structure;VME Bus;2;6
pfi201;Cruise Power System;Freon Active Thermal Control;2;2
pfi202;Backshell Pyro Switching & Pyros;Freon Active Thermal Control;2;4
pfi203;Lander Shunt Limiter Unit;Freon Active Thermal Control;2;2
pfi204;Power Distribution and Control;Freon Active Thermal Control;2;2
pfi205;Lander Battery;Freon Active Thermal Control;2;2
pfi206;Lander Pyro Switching Assys and Pyros;Freon Active Thermal Control;2;4
pfi207;AIM Power Converter;Freon Active Thermal Control;2;2
pfi208;Telecommunications Boards - VME I/F;Freon Active Thermal Control;2;6
pfi209;Telecommunications Boards - TEL I/F;Freon Active Thermal Control;2;6
pfi210;Transponder, Diplexer, Amplifier;Freon Active Thermal Control;2;2
pfi211;Lander Power Converter;Freon Active Thermal Control;2;2
pfi212;Lander Remoter Eng Unit;Freon Active Thermal Control;2;6
pfi213;Flight Computer & I/F Boards;Freon Active Thermal Control;2;6
pfi214;Imager;Freon Active Thermal Control;2;2
pfi215;Atmospheric Structure Instrument;Freon Active Thermal Control;2;2
pfi216;Spacecraft Software;Freon Active Thermal Control;1;1
pfi217;Lander Structure;Freon Active Thermal Control;2;2
pfi218;Lander Shunt Limiter Unit;Passive Thermal Control/Enclosure;2;2
pfi219;Power Distribution and Control;Passive Thermal Control/Enclosure;2;2
pfi220;Lander Battery;Passive Thermal Control/Enclosure;2;2
pfi221;Lander Pyro Switching Assys and Pyros;Passive Thermal Control/Enclosure;2;4
pfi222;AIM Power Converter;Passive Thermal Control/Enclosure;2;2
pfi223;Telecommunications Boards - VME I/F;Passive Thermal Control/Enclosure;2;6
pfi224;Telecommunications Boards - TEL I/F;Passive Thermal Control/Enclosure;2;6
pfi225;Transponder, Diplexer, Amplifier;Passive Thermal Control/Enclosure;2;2
pfi226;Lander Power Converter;Passive Thermal Control/Enclosure;2;2
pfi227;Lander Remoter Eng Unit;Passive Thermal Control/Enclosure;2;6
pfi228;Flight Computer & I/F Boards;Passive Thermal Control/Enclosure;2;6
pfi229;Imager;Passive Thermal Control/Enclosure;2;2
pfi230;Atmospheric Structure Instrument;Passive Thermal Control/Enclosure;2;2
pfi231;Spacecraft Software;Passive Thermal Control/Enclosure;1;1
pfi232;Lander Structure;Passive Thermal Control/Enclosure;2;2
pfi233;Cruise Power System;Spacecraft Software;1;1
pfi234;Aeroshell (Heatshield & Backplane);Spacecraft Software;1;4
pfi235;Parachute;Spacecraft Software;1;3
pfi236;Solid Rocket Assisted Decelerator;Spacecraft Software;1;3
pfi237;Airbags;Spacecraft Software;1;3
pfi238;Backshell Pyro Switching & Pyros;Spacecraft Software;1;2
pfi239;Lander Shunt Limiter Unit;Spacecraft Software;1;1
pfi240;Power Distribution and Control;Spacecraft Software;1;1
pfi241;Lander Petals/Solar Array;Spacecraft Software;1;1
pfi242;Lander Battery;Spacecraft Software;1;1
pfi243;Lander Pyro Switching Assys and Pyros;Spacecraft Software;1;2
pfi244;Cruise Power Converter;Spacecraft Software;1;1
pfi245;AIM Power Converter;Spacecraft Software;1;1
pfi246;Cruise Remote Eng Unit;Spacecraft Software;2;2
pfi247;Star Scanner & Sun Sensor;Spacecraft Software;1;1
pfi248;Propulsion Drive Elect;Spacecraft Software;1;1
pfi249;Propulsion Heaters;Spacecraft Software;1;1
pfi250;Propulsion Tanks/Thrusters;Spacecraft Software;1;1
pfi251;Telecommunications Boards - VME I/F;Spacecraft Software;2;6
pfi252;Telecommunications Boards - TEL I/F;Spacecraft Software;2;6
pfi253;Cruise MGA;Spacecraft Software;1;1
pfi254;Entry, Descent & Lander LGAs;Spacecraft Software;1;1
pfi255;Lander HGA;Spacecraft Software;1;1
pfi256;Transponder, Diplexer, Amplifier;Spacecraft Software;1;1
pfi257;Mechanical Actuators;Spacecraft Software;1;1
pfi258;Lander Power Converter;Spacecraft Software;1;1
pfi259;Radar Altimeter;Spacecraft Software;1;1
pfi260;Lander Sensors;Spacecraft Software;1;1
pfi261;HGA Actuators;Spacecraft Software;1;1
pfi262;Lander Remoter Eng Unit;Spacecraft Software;2;6
pfi263;UHF Modem;Spacecraft Software;1;3
pfi264;Sojourner Rover;Spacecraft Software;1;3
pfi265;Flight Computer & I/F Boards;Spacecraft Software;2;6
pfi266;Imager;Spacecraft Software;2;2
pfi267;Atmospheric Structure Instrument;Spacecraft Software;2;2
pfi268;1553 Data Bus;Spacecraft Software;1;3
pfi269;VME Bus;Spacecraft Software;1;3
pfi270;Freon Active Thermal Control;Spacecraft Software;1;1
pfi271;Passive Thermal Control/Enclosure;Spacecraft Software;1;1
pfi272;Lander Structure;Spacecraft Software;2;2
pfi273;Delta II Launch Vehicle;Lander Structure;2;2
pfi274;Cruise Stage Structure;Lander Structure;2;2
pfi275;Aeroshell (Heatshield & Backplane);Lander Structure;4;16
pfi276;Parachute;Lander Structure;4;12
pfi277;Solid Rocket Assisted Decelerator;Lander Structure;2;6
pfi278;Airbags;Lander Structure;4;12
pfi279;Backshell Pyro Switching & Pyros;Lander Structure;4;8
pfi280;Lander Shunt Limiter Unit;Lander Structure;2;2
pfi281;Power Distribution and Control;Lander Structure;2;2
pfi282;Lander Petals/Solar Array;Lander Structure;2;2
pfi283;Lander Battery;Lander Structure;2;2
pfi284;Lander Pyro Switching Assys and Pyros;Lander Structure;2;4
pfi285;Cruise Power Converter;Lander Structure;2;2
pfi286;AIM Power Converter;Lander Structure;2;2
pfi287;Telecommunications Boards - VME I/F;Lander Structure;2;6
pfi288;Telecommunications Boards - TEL I/F;Lander Structure;2;6
pfi289;Entry, Descent & Lander LGAs;Lander Structure;2;2
pfi290;Lander HGA;Lander Structure;2;2
pfi291;Transponder, Diplexer, Amplifier;Lander Structure;2;2
pfi292;Mechanical Actuators;Lander Structure;2;2
pfi293;Lander Power Converter;Lander Structure;2;2
pfi294;Radar Altimeter;Lander Structure;2;2
pfi295;Lander Sensors;Lander Structure;2;2
pfi296;HGA Actuators;Lander Structure;2;2
pfi297;Lander Remoter Eng Unit;Lander Structure;2;6
pfi298;UHF Modem;Lander Structure;2;6
pfi299;Sojourner Rover;Lander Structure;2;6
pfi300;Flight Computer & I/F Boards;Lander Structure;2;6
pfi301;Imager;Lander Structure;2;2
pfi302;Atmospheric Structure Instrument;Lander Structure;2;2
pfi303;1553 Data Bus;Lander Structure;2;6
pfi304;VME Bus;Lander Structure;2;6
pfi305;Freon Active Thermal Control;Lander Structure;2;2
pfi306;Passive Thermal Control/Enclosure;Lander Structure;2;2
pfi307;Spacecraft Software;Lander Structure;2;2
