source;target;name;volatility
Conduct cube review and get surface buyoff;Iterate from initial design concept to achieve safe design concept;ford140;3.0
Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);Iterate from initial design concept to achieve safe design concept;ford141;4.0
Evaluate functional performance (analytically);Iterate from initial design concept to achieve safe design concept;ford142;6.0
PDN2 - Last Class 1surface verified and released for major formed parts;Iterate from initial design concept to achieve safe design concept;ford143;1.0
Develop initial attachment scheme;PDN1 - Release System design intent level concept to manufacturing;ford144;9.0
Define hinge concept;PDN1 - Release System design intent level concept to manufacturing;ford145;6.0
Get prelim. Mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);PDN1 - Release System design intent level concept to manufacturing;ford146;6.0
Theme approval for interior and exterior appearance (prelim surf available);PDN1 - Release System design intent level concept to manufacturing;ford147;6.0
Approved theme refined for craftsmanship execution (consistent w/ PA objectives);PDN1 - Release System design intent level concept to manufacturing;ford148;6.0
PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);PDN1 - Release System design intent level concept to manufacturing;ford149;6.0
Conduct cube review and get surface buyoff;PDN1 - Release System design intent level concept to manufacturing;ford150;9.0
Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);PDN1 - Release System design intent level concept to manufacturing;ford151;6.0
Evaluate functional performance (analytically);PDN1 - Release System design intent level concept to manufacturing;ford152;6.0
Iterate from initial design concept to achieve safe design concept;PDN1 - Release System design intent level concept to manufacturing;ford153;9.0
PDN2 - Last Class 1surface verified and released for major formed parts;PDN1 - Release System design intent level concept to manufacturing;ford154;3.0
PDN3 - Final math 1, 2, & 3 data released;PDN1 - Release System design intent level concept to manufacturing;ford155;6.0
CAD files reflect pre-CP verification changes;PDN1 - Release System design intent level concept to manufacturing;ford156;6.0
Approve master sections;Develop stamping tooling;ford157;6.0
PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);Develop stamping tooling;ford158;6.0
Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);Develop stamping tooling;ford159;6.0
Iterate from initial design concept to achieve safe design concept;Develop stamping tooling;ford160;9.0
PDN1 - Release System design intent level concept to manufacturing;Develop stamping tooling;ford161;6.0
PDN2 - Last Class 1surface verified and released for major formed parts;Develop stamping tooling;ford162;2.0
PDN3 - Final math 1, 2, & 3 data released;Develop stamping tooling;ford163;2.0
CAD files reflect pre-CP verification changes;Develop stamping tooling;ford164;6.0
Approve master sections;Develop hemming tooling (if applicable);ford165;6.0
PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);Develop hemming tooling (if applicable);ford166;6.0
Conduct cube review and get surface buyoff;Develop hemming tooling (if applicable);ford167;3.0
Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);Develop hemming tooling (if applicable);ford168;6.0
Iterate from initial design concept to achieve safe design concept;Develop hemming tooling (if applicable);ford169;3.0
PDN1 - Release System design intent level concept to manufacturing;Develop hemming tooling (if applicable);ford170;4.0
Develop assembly tooling;Develop hemming tooling (if applicable);ford171;2.0
PDN2 - Last Class 1surface verified and released for major formed parts;Develop hemming tooling (if applicable);ford172;1.0
PDN3 - Final math 1, 2, & 3 data released;Develop hemming tooling (if applicable);ford173;2.0
CAD files reflect pre-CP verification changes;Develop hemming tooling (if applicable);ford174;6.0
Approve master sections;Develop assembly tooling;ford175;6.0
PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);Develop assembly tooling;ford176;6.0
Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);Develop assembly tooling;ford177;6.0
Iterate from initial design concept to achieve safe design concept;Develop assembly tooling;ford178;3.0
PDN1 - Release System design intent level concept to manufacturing;Develop assembly tooling;ford179;4.0
Develop hemming tooling (if applicable);Develop assembly tooling;ford180;2.0
PDN2 - Last Class 1surface verified and released for major formed parts;Develop assembly tooling;ford181;1.0
PDN3 - Final math 1, 2, & 3 data released;Develop assembly tooling;ford182;2.0
CAD files reflect pre-CP verification changes;Develop assembly tooling;ford183;6.0
Approved theme refined for craftsmanship execution (consistent w/ PA objectives);PDN2 - Last Class 1surface verified and released for major formed parts;ford184;9.0
Conduct cube review and get surface buyoff;PDN2 - Last Class 1surface verified and released for major formed parts;ford185;9.0
Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);PDN2 - Last Class 1surface verified and released for major formed parts;ford186;4.0
PDN1 - Release System design intent level concept to manufacturing;PDN2 - Last Class 1surface verified and released for major formed parts;ford187;6.0
Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);PDN3 - Final math 1, 2, & 3 data released;ford188;6.0
PDN2 - Last Class 1surface verified and released for major formed parts;PDN3 - Final math 1, 2, & 3 data released;ford189;3.0
CAD files reflect pre-CP verification changes;PDN3 - Final math 1, 2, & 3 data released;ford190;6.0
Perform DV tests (physical);PDN3 - Final math 1, 2, & 3 data released;ford191;9.0
Complete prelim. ESO for: Eng. Confidence that objectives will be met declared;PDN3 - Final math 1, 2, & 3 data released;ford192;2.0
Strategies for product, mkt, mfg, supply, design and reusability confirmed (Est. PDL);CAD files reflect pre-CP verification changes;ford193;6.0
Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);CAD files reflect pre-CP verification changes;ford194;6.0
PDN1 - Release System design intent level concept to manufacturing;CAD files reflect pre-CP verification changes;ford195;6.0
PDN2 - Last Class 1surface verified and released for major formed parts;CAD files reflect pre-CP verification changes;ford196;3.0
Complete prelim. ESO for: Eng. Confidence that objectives will be met declared;CAD files reflect pre-CP verification changes;ford197;2.0
Conduct cube review and get surface buyoff;"Make ""like production"" part and asy tools / ergonomics / process sheets (to extent feasible)";ford198;3.0
Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);"Make ""like production"" part and asy tools / ergonomics / process sheets (to extent feasible)";ford199;6.0
PDN1 - Release System design intent level concept to manufacturing;"Make ""like production"" part and asy tools / ergonomics / process sheets (to extent feasible)";ford200;6.0
PDN2 - Last Class 1surface verified and released for major formed parts;"Make ""like production"" part and asy tools / ergonomics / process sheets (to extent feasible)";ford201;3.0
PDN3 - Final math 1, 2, & 3 data released;"Make ""like production"" part and asy tools / ergonomics / process sheets (to extent feasible)";ford202;6.0
CAD files reflect pre-CP verification changes;"Make ""like production"" part and asy tools / ergonomics / process sheets (to extent feasible)";ford203;4.0
"Make ""like production"" part and asy tools / ergonomics / process sheets (to extent feasible)";First CPs available for tuning and durability testing;ford204;9.0
Complete CMM analysis of all end items & subassemblies;First CPs available for tuning and durability testing;ford205;2.0
First CPs available for tuning and durability testing;Complete CMM analysis of all end items & subassemblies;ford206;6.0
Program DVPs and FMEAs complete;Perform DV tests (physical);ford207;3.0
First CPs available for tuning and durability testing;Perform DV tests (physical);ford208;6.0
Complete CMM analysis of all end items & subassemblies;Perform DV tests (physical);ford209;3.0
"Make ""like production"" part and asy tools / ergonomics / process sheets (to extent feasible)";Verify manufacturing and assembly process capability;ford210;9.0
First CPs available for tuning and durability testing;Verify manufacturing and assembly process capability;ford211;6.0
Complete CMM analysis of all end items & subassemblies;Verify manufacturing and assembly process capability;ford212;3.0
Complete CMM analysis of all end items & subassemblies;Complete prelim. ESO for: CP durability testing;ford213;2.0
Perform DV tests (physical);Complete prelim. ESO for: CP durability testing;ford214;6.0
Verify manufacturing and assembly process capability;Complete prelim. ESO for: CP durability testing;ford215;2.0
Perform DV tests (physical);Complete prelim. ESO for: Known changes from CP containable for 1PP;ford216;6.0
Verify manufacturing and assembly process capability;Complete prelim. ESO for: Known changes from CP containable for 1PP;ford217;2.0
Complete prelim. ESO for: CP durability testing;Complete prelim. ESO for: Known changes from CP containable for 1PP;ford218;4.0
Complete prelim. ESO for: Initial set of road tests completed;Complete prelim. ESO for: Known changes from CP containable for 1PP;ford219;4.0
Complete prelim. ESO for: Design is J1 level - no further changes except No-Blds;Complete prelim. ESO for: Known changes from CP containable for 1PP;ford220;2.0
Complete prelim. ESO for: Eng. Confidence that objectives will be met declared;Complete prelim. ESO for: Known changes from CP containable for 1PP;ford221;2.0
Supplier commitment to support 1 PP w/ PSW parts;Complete prelim. ESO for: Known changes from CP containable for 1PP;ford222;3.0
First CPs available for tuning and durability testing;Complete prelim. ESO for: Initial set of road tests completed;ford223;6.0
PDN2 - Last Class 1surface verified and released for major formed parts;Complete prelim. ESO for: Design is J1 level - no further changes except No-Blds;ford224;3.0
PDN3 - Final math 1, 2, & 3 data released;Complete prelim. ESO for: Design is J1 level - no further changes except No-Blds;ford225;6.0
CAD files reflect pre-CP verification changes;Complete prelim. ESO for: Design is J1 level - no further changes except No-Blds;ford226;4.0
Perform DV tests (physical);Complete prelim. ESO for: Design is J1 level - no further changes except No-Blds;ford227;9.0
Verify manufacturing and assembly process capability;Complete prelim. ESO for: Design is J1 level - no further changes except No-Blds;ford228;4.0
Complete prelim. ESO for: CP durability testing;Complete prelim. ESO for: Design is J1 level - no further changes except No-Blds;ford229;4.0
Complete prelim. ESO for: Known changes from CP containable for 1PP;Complete prelim. ESO for: Design is J1 level - no further changes except No-Blds;ford230;6.0
Complete prelim. ESO for: Initial set of road tests completed;Complete prelim. ESO for: Design is J1 level - no further changes except No-Blds;ford231;6.0
PDN2 - Last Class 1surface verified and released for major formed parts;Complete prelim. ESO for: Eng. Confidence that objectives will be met declared;ford232;1.0
Perform DV tests (physical);Complete prelim. ESO for: Eng. Confidence that objectives will be met declared;ford233;9.0
Verify manufacturing and assembly process capability;Complete prelim. ESO for: Eng. Confidence that objectives will be met declared;ford234;4.0
Complete prelim. ESO for: CP durability testing;Complete prelim. ESO for: Eng. Confidence that objectives will be met declared;ford235;4.0
Complete prelim. ESO for: Known changes from CP containable for 1PP;Complete prelim. ESO for: Eng. Confidence that objectives will be met declared;ford236;4.0
Complete prelim. ESO for: Initial set of road tests completed;Complete prelim. ESO for: Eng. Confidence that objectives will be met declared;ford237;6.0
Complete prelim. ESO for: Known changes from CP containable for 1PP;Supplier commitment to support 1 PP w/ PSW parts;ford238;6.0
Complete prelim. ESO for: Design is J1 level - no further changes except No-Blds;Supplier commitment to support 1 PP w/ PSW parts;ford239;6.0
Complete CMM analysis of all end items & subassemblies;Readiness to proceed to tool tryout (TTO), 1PP and Job #1;ford240;2.0
Perform DV tests (physical);Readiness to proceed to tool tryout (TTO), 1PP and Job #1;ford241;9.0
Verify manufacturing and assembly process capability;Readiness to proceed to tool tryout (TTO), 1PP and Job #1;ford242;6.0
Complete prelim. ESO for: CP durability testing;Readiness to proceed to tool tryout (TTO), 1PP and Job #1;ford243;4.0
Complete prelim. ESO for: Known changes from CP containable for 1PP;Readiness to proceed to tool tryout (TTO), 1PP and Job #1;ford244;6.0
Complete prelim. ESO for: Initial set of road tests completed;Readiness to proceed to tool tryout (TTO), 1PP and Job #1;ford245;4.0
Complete prelim. ESO for: Design is J1 level - no further changes except No-Blds;Readiness to proceed to tool tryout (TTO), 1PP and Job #1;ford246;6.0
Complete prelim. ESO for: Eng. Confidence that objectives will be met declared;Readiness to proceed to tool tryout (TTO), 1PP and Job #1;ford247;2.0
Supplier commitment to support 1 PP w/ PSW parts;Readiness to proceed to tool tryout (TTO), 1PP and Job #1;ford248;2.0
